title,authors,pdf_link,code_url,conference_name
Decoupled Learning for Factorial Marked Temporal Point Processes,Weichang Wu ; Junchi Yan ; Xiaokang Yang ; Hongyuan Zha,,,KDD 2018
R-VQA: Learning Visual Relation Facts with Semantic Attention for Visual Question Answering,Pan Lu ; Lei Ji ; Wei Zhang ; Nan Duan ; Ming Zhou ; Jianyong Wang,,,KDD 2018
Multi-label Learning with Highly Incomplete Data via Collaborative Embedding,Yufei Han ; Yun Shen ; Guolei Sun ); Xiangliang Zhang ),,,KDD 2018
Spectral Clustering of Large-scale Data by Directly Solving Normalized Cut,Xiaojun Chen ; Weijun Hong ; Feiping Nie ; Dan He ; Min Yang ; Joshua Z. Huang,,,KDD 2018
SpotLight: Detecting Anomalies in Streaming Graphs,Dhivya Eswaran ; Christos Faloutsos ; Sudipto Guha ; Nina Mishra,,,KDD 2018
Learning Representations of Ultrahigh-dimensional Data for Random Distance-based Outlier Detection,Guansong Pang ; Longbing Cao ; Ling Chen ; Huan Liu,,,KDD 2018
Dynamic Embeddings for User Profiling in Twitter,Shangsong Liang ; Xiangliang Zhang ; Zhaochun Ren ; Evangelos Kanoulas,,,KDD 2018
A Unified Approach to Quantifying Algorithmic Unfairness: Measuring Individual & Group Unfairness vi,Till Speicher ; Hoda Heidari ; Nina Grgic-Hlaca ; Krishna P. Gummadi ; Adish Singla ; Adrian Weller ; Muhammad Bilal Zafar,,,KDD 2018
Multiview Clustering via Adaptively Weighted Procrustes,Feiping Nie ; Lai Tian ; Xuelong Li,,,KDD 2018
Deep Variational Network Embedding in Wasserstein Space,Dingyuan Zhu ; Peng Cui ; Daixin Wang ; Wenwu Zhu,,,KDD 2018
Geographical Hidden Markov Tree for Flood Extent Mapping,Miao Xie ; Zhe Jiang ; Arpan Man Sainju,,,KDD 2018
Embedding Temporal Network via Neighborhood Formation,Yuan Zuo ; Guannan Liu ; Hao Lin ; Jia Guo ; Xiaoqian Hu ; Junjie Wu,,,KDD 2018
Algorithms for Hiring and Outsourcing in the Online Labor Market,Aris Anagnostopoulos ; Carlos Castillo ; Adriano Fazzone ; Stefano Leonardi ; Evimaria Terzi,,,KDD 2018
"Data Diff: Interpretable, Executable Summaries of Changes in Distributions for Data Wrangling",Charles Sutton ; Timothy Hobson ; James Geddes ; Rich Caruana,,,KDD 2018
Hierarchical Taxonomy Aware Network Embedding,Jianxin Ma ; Peng Cui ; Xiao Wang ; Wenwu Zhu,,,KDD 2018
Exact and Consistent Interpretation for Piecewise Linear Neural Networks: A Closed Form Solution,Lingyang Chu ; Xia Hu ; Juhua Hu ; Lanjun Wang ; Jian Pei,,,KDD 2018
TaxoGen: Constructing Topical Concept Taxonomy by Adaptive Term Embedding and Clustering,Chao Zhang ; Fangbo Tao ; Xiusi Chen ; Jiaming Shen ; Meng Jiang ; Brian Sadler ; Michelle Vanni ; Jiawei Han,,,KDD 2018
Deep Recursive Network Embedding with Regular Equivalence,Ke Tu ; Peng Cui ; Xiao Wang ; Philip S. Yu ; Wenwu Zhu,,,KDD 2018
PCA by Determinant Optimization has no Spurious Local Optima,Raphael Hauser ; Armin Eftekhari ; Heinrich Matzinger,,,KDD 2018
Concepts-Bridges: Uncovering Conceptual Bridges Based on Biomedical Concept Evolution,Kishlay Jha ; Guangxu Xun ; Yaqing Wang ; Vishrawas Gopalakrishnan ; Aidong Zhang,,,KDD 2018
Learning and Interpreting Complex Distributions in Empirical Data,Chengxi Zang ; Peng Cui ; Wenwu Zhu,,,KDD 2018
Concentrated Differentially Private Gradient Descent with Adaptive per-Iteration Privacy Budget,Jaewoo Lee ; Daniel Kifer,,,KDD 2018
Adversarial Attacks on Neural Networks for Graph Data,Daniel Zügner ; Amir Akbarnejad ; Stephan Günnemann,,,KDD 2018
Optimal Distributed Submodular Optimization via Sketching,Mohammadhossein Bateni ; Hossein Esfandiari ; Vahab Mirrokni,,,KDD 2018
